name,category,unit,currentStock,reorderPoint,maxStock,costPerUnit,supplier,leadTimeDays
Ceremonial Grade Matsu,Matcha Powder,gram,2000,500,3000,0.80,Uji Tea Farm,7
Premium Culinary Matcha,Matcha Powder,gram,1500,400,2500,0.45,Uji Tea Farm,7
Everyday Matcha Blend,Matcha Powder,gram,2500,600,4000,0.25,Kyoto Suppliers,5
Houjicha Powder,Tea Powder,gram,1800,400,2500,0.35,Uji Tea Farm,7
Hojicha Roasted Blend,Tea Powder,gram,1200,300,2000,0.30,Kyoto Suppliers,5
Meiji Fresh Milk,Dairy,liter,45,20,80,2.80,Cold Chain SG,2
Oatly Barista Edition,Plant Milk,liter,35,15,60,4.50,Oatly Singapore,3
Almond Breeze Barista,Plant Milk,liter,25,10,50,3.80,Blue Diamond SG,3
Coconut Milk Barista,Plant Milk,liter,20,8,40,3.20,Thai Imports,4
Soy Milk Organic,Plant Milk,liter,30,12,50,2.50,Local Dairy,2
Fresh Strawberries,Fresh Produce,kg,8,3,15,12.00,Fresh Farms SG,1
Frozen Strawberry Puree,Frozen,kg,12,5,20,8.50,Berry Best,3
Honey Local Raw,Sweetener,kg,5,2,10,18.00,SG Bee Farm,5
Vanilla Syrup,Syrup,liter,8,3,15,6.50,Monin Singapore,4
Caramel Syrup,Syrup,liter,6,2,12,6.50,Monin Singapore,4
Hazelnut Syrup,Syrup,liter,5,2,10,6.50,Monin Singapore,4
Brown Sugar Syrup,Syrup,liter,10,4,18,4.00,Local Supplier,3
White Sugar,Sweetener,kg,15,5,25,1.20,Wholesale SG,2
Whipping Cream,Dairy,liter,12,5,20,8.00,Cold Chain SG,2
Condensed Milk,Dairy,can,24,10,40,2.50,Nestle SG,5
Ice Cubes,Frozen,kg,50,20,100,0.50,Ice Factory,1
Espresso Beans,Coffee,kg,8,3,15,28.00,Coffee Roasters,5
Vanilla Ice Cream,Frozen,liter,10,4,18,12.00,Haagen Dazs,3
Chocolate Sauce,Topping,liter,4,2,8,9.00,Monin Singapore,4
Matcha Powder Display,Retail,unit,30,10,50,15.00,Uji Tea Farm,14
Bio-Cup (Hot 12oz),Packaging,count,5000,2000,8000,0.12,Eco Pack SG,5
Bio-Cup (Hot 8oz),Packaging,count,5000,2000,8000,0.10,Eco Pack SG,5
Bio-Cup (Cold 16oz),Packaging,count,4000,1500,7000,0.14,Eco Pack SG,5
Bio-Cup (Cold 12oz),Packaging,count,4500,1800,7500,0.12,Eco Pack SG,5
Hot Cup Lids,Packaging,count,6000,2500,10000,0.03,Eco Pack SG,5
Cold Cup Lids,Packaging,count,5500,2200,9000,0.04,Eco Pack SG,5
Paper Straws,Packaging,count,8000,3000,12000,0.02,Eco Pack SG,5
Wooden Stirrers,Packaging,count,10000,4000,15000,0.01,Eco Pack SG,5
Napkins,Packaging,count,15000,5000,25000,0.008,Eco Pack SG,5
Carrier Bags (Small),Packaging,count,3000,1000,5000,0.08,Eco Pack SG,5
Carrier Bags (Large),Packaging,count,2000,800,4000,0.12,Eco Pack SG,5
Bamboo Chasen (Whisk),Equipment,unit,15,5,25,8.00,Uji Tea Farm,14
Chawan (Tea Bowl),Equipment,unit,20,8,35,12.00,Uji Tea Farm,14
Matcha Sifter,Equipment,unit,10,4,20,5.00,Uji Tea Farm,14
Cinnamon Powder,Spice,gram,500,150,800,0.025,Spice World,7
Cocoa Powder,Powder,gram,800,250,1200,0.018,Valrhona SG,7
Lavender Dried,Botanical,gram,300,100,500,0.08,Herb Garden,10
Rose Petals Dried,Botanical,gram,200,80,400,0.12,Herb Garden,10
Yuzu Juice,Citrus,liter,3,1,6,25.00,Japan Imports,10
Black Sesame Paste,Paste,kg,2,1,4,22.00,Japan Imports,10
Kinako Powder,Powder,gram,600,200,1000,0.035,Japan Imports,10
Red Bean Paste,Paste,kg,4,2,8,15.00,Japan Imports,10
Mochi Balls,Frozen,pack,25,10,50,3.50,Japan Imports,7
Tapioca Pearls,Topping,kg,10,4,18,6.00,Taiwan Imports,5
Grass Jelly,Topping,kg,8,3,15,4.50,Taiwan Imports,5
